antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'old_age'}),frozenset({'high_bmi'}),0.505,0.498,0.253,0.500990099009901,1.0060042148793193,1.0,0.0015100000000000113,1.0059920634920636,0.012057332215435071,0.33733333333333326,0.005956372529683253,0.5045111137619787
frozenset({'high_bmi'}),frozenset({'old_age'}),0.498,0.505,0.253,0.5080321285140562,1.0060042148793191,1.0,0.0015100000000000113,1.0061632653061223,0.011889202084940957,0.33733333333333326,0.006125512149608504,0.5045111137619787
frozenset({'target'}),frozenset({'high_bmi'}),0.255,0.498,0.224,0.8784313725490196,1.7639184187731318,1.0,0.09701000000000001,4.129354838709677,0.5813159156279962,0.42344045368620037,0.7578314194203578,0.6641152846680841
frozenset({'high_bmi'}),frozenset({'target'}),0.498,0.255,0.224,0.4497991967871486,1.7639184187731316,1.0,0.09701000000000001,1.3540510948905111,0.8627098747865681,0.42344045368620037,0.2614754319290585,0.6641152846680841
frozenset({'high_bp'}),frozenset({'target'}),0.491,0.255,0.127,0.25865580448065173,1.0143364881594186,1.0,0.001794999999999991,1.0049313186813187,0.027767894435592265,0.20516962843295639,0.004907120108257349,0.3783475100834631
frozenset({'target'}),frozenset({'high_bp'}),0.255,0.491,0.127,0.4980392156862745,1.0143364881594186,1.0,0.001794999999999991,1.0140234375000001,0.018971621835861027,0.20516962843295639,0.013829500365961738,0.3783475100834631
frozenset({'old_age'}),frozenset({'target'}),0.505,0.255,0.214,0.42376237623762375,1.661813240147544,1.0,0.085225,1.29286941580756,0.8045407344472765,0.3919413919413919,0.22652667951358893,0.6314890312560668
frozenset({'target'}),frozenset({'old_age'}),0.255,0.505,0.214,0.8392156862745098,1.6618132401475443,1.0,0.085225,3.0786585365853663,0.5345606222166468,0.3919413919413919,0.6751832045949693,0.6314890312560668
"frozenset({'high_bp', 'high_bmi'})",frozenset({'target'}),0.242,0.255,0.108,0.4462809917355372,1.7501215362177929,1.0,0.04629,1.34544776119403,0.5654500146584579,0.27763496143958866,0.2567530090409895,0.43490520175012154
"frozenset({'high_bp', 'target'})",frozenset({'high_bmi'}),0.127,0.498,0.108,0.8503937007874015,1.7076178730670712,1.0,0.044754,3.3554736842105246,0.4746722667684868,0.20889748549323017,0.7019794836402421,0.5336305853334598
frozenset({'high_bmi'}),"frozenset({'high_bp', 'target'})",0.498,0.127,0.108,0.21686746987951808,1.7076178730670715,1.0,0.044754,1.1147538461538462,0.8254758742806552,0.20889748549323017,0.10294097351605735,0.5336305853334598
frozenset({'target'}),"frozenset({'high_bp', 'high_bmi'})",0.255,0.242,0.108,0.4235294117647059,1.7501215362177929,1.0,0.04629,1.3148979591836736,0.5753169276659209,0.27763496143958866,0.239484712090641,0.43490520175012154
"frozenset({'old_age', 'target'})",frozenset({'high_bmi'}),0.214,0.498,0.199,0.9299065420560748,1.8672822129640056,1.0,0.09242800000000001,7.161866666666672,0.5909189714475686,0.38791423001949327,0.8603715977212646,0.664752467815186
"frozenset({'old_age', 'high_bmi'})",frozenset({'target'}),0.253,0.255,0.199,0.7865612648221344,3.0845539796946446,1.0,0.13448500000000002,3.490462962962963,0.9046907899605121,0.6440129449838188,0.7135050534525293,0.7834767108424397
"frozenset({'target', 'high_bmi'})",frozenset({'old_age'}),0.224,0.505,0.199,0.8883928571428572,1.7591937765205092,1.0,0.08588000000000001,4.435200000000003,0.5561311713205201,0.3754716981132076,0.7745310245310246,0.6412261315417256
frozenset({'old_age'}),"frozenset({'target', 'high_bmi'})",0.505,0.224,0.199,0.3940594059405941,1.7591937765205092,1.0,0.08588000000000001,1.2806535947712419,0.8718339170600478,0.3754716981132076,0.21914871899561092,0.6412261315417256
frozenset({'target'}),"frozenset({'old_age', 'high_bmi'})",0.255,0.253,0.199,0.7803921568627451,3.0845539796946446,1.0,0.13448500000000002,3.4015178571428573,0.9071194900677888,0.6440129449838188,0.7060135968711447,0.7834767108424397
frozenset({'high_bmi'}),"frozenset({'old_age', 'target'})",0.498,0.214,0.199,0.3995983935742972,1.8672822129640056,1.0,0.09242800000000001,1.3091237458193983,0.9252237282027669,0.38791423001949327,0.23613027172302445,0.664752467815186
